Source_id,source,target
55,बहिरागन्तुं शोर्ट्-कट् कीलकस्य उपयोगं कुर्मः । Ctrl X नोदनेन व्यवस्थां exit कुर्मः ।,"Now, let us try the short-cut key to Exit i.e. Ctrl X to exit from the application."
56,पश्यत स मेघैरागच्छति तेनैकैकस्य चक्षुस्तं द्रक्ष्यति ये च तं विद्धवन्तस्ते ऽपि तं विलोकिष्यन्ते तस्य कृते पृथिवीस्थाः सर्व्वे वंशा विलपिष्यन्ति। सत्यम् आमेन्।,"""Behold, he cometh with clouds; and every eye shall see him, and they also which pierced him: and all kindreds of the earth shall wail because of him. Even so, Amen."""
57,"XAMPP 5.5.19 द्वारा प्राप्तानि Apache, MySQL तथा PHP,","Apache, MySQL and PHP obtained through XAMPP 5.5.19"
58,यूयं सुर्योदयम् ईक्षिष्यध्वे ।,You all will be viewing the sun rise.
59,एतत् सीक्वेन्स् आरम्भात् 6 बेस् पर्यन्तमपि विद्यमानम् एकं भागम् उद्घाटयति ।,This will extract a fragment from the beginning of the sequence to the 6th base in the sequence.
60,एतस्मिन् ट्यूटोरियल मध्ये वयं टक्स-टाइपिंग इंटरफेस विषये ज्ञातवन्तः। अस्माकं प्रथमटङ्कनपाठं सम्पूर्णं कृतवन्तः।,"In this tutorial, we learnt about the Tux Typing interface and completed our first typing lesson."
61,GIMP इति विषयके पाठेऽस्मिन् सर्वेभ्यः स्वागतम् ।,Welcome to the spoken tutorial of GIMP.
62,शिमोन्पितरः यमजथोमा गालीलीयकान्नानगरनिवासी निथनेल् सिवदेः पुत्रावन्यौ द्वौ शिष्यौ चैतेष्वेकत्र मिलितेषु शिमोन्पितरोऽकथयत् मत्स्यान् धर्तुं यामि।,"""There were together Simon Peter, and Thomas called Didymus, and Nathanael of Cana in Galilee, and the sons of Zebedee, and two other of his disciples."""
63,जावा-क्लास् इत्यस्य स्वरूपम् एवमस्ति ।,Structure of a Java Class; A class defines:
64,'आचार्यः' इति शब्दस्य वर्णक्रमः एवम् अस्ति - आ + च् + आ + र् + य् + अ + :,Is the word 'AcAryaH' alphabetical order in this way - A + c + A+ r + y+ a + H
65,अन्तिमायाः पङ्क्त्याः अन्ते कर्सर् स्थापयित्वा Enter नुदन्तु । पश्चात् अधः यथा दर्शितं तथा टङ्कयन्तु ।,Place the cursor at the end of the last line and press Enter. Then type the following.
66,ऐषा पादौ भवत: प्राय: कीटानां पंक: भवन्ति य: उड्डयने सहायता कुर्वन्ति।,They have six legs. Most insects have wings. Wings help them to fly.
67,तदा वयं किञ्चन पाप-अप सन्देशं प्राप्नुमः -,We will get the popup message:
68,'रूट् डिरेक्टरि' इत्यस्य पाथ् “c:\xampp\htdocs” इति वर्तते ।,The path for the root directory is “c:\xampp\htdocs”
69,अग्र्येषु अङ्कनी अत्यन्तं तीक्ष्णा अस्ति अपि च रङ्गसेचनकूर्चः मृदुः इति भवान् पश्यति ।,You see the pencil is very sharp in the edges and paint brush is smooth.
70,अनन्तरं विश्रामवारे यीशौ प्रधानस्य फिरूशिनो गृहे भोक्तुं गतवति ते तं वीक्षितुम् आरेभिरे।,"""And it came to pass, as he went into the house of one of the chief Pharisees to eat bread on the sabbath day, that they watched him."""
71,आयुषो यः समयो व्यतीतस्तस्मिन् युष्माभि र्यद् देवपूजकानाम् इच्छासाधनं कामकुत्सिताभिलाषमद्यपानरङ्गरसमत्तताघृणार्हदेवपूजाचरणञ्चाकारि तेन बाहुल्यं।,"""For the time past of our life may suffice us to have wrought the will of the Gentiles, when we walked in lasciviousness, lusts, excess of wine, revellings, banquetings, and abominable idolatries:"""
72,पूर्वम् उद्घाटितानि सर्वाणि विण्डोस् पिधाय नूतनं विण्डो उद्घाटयन्तु ।,Close all the previously opened windows and open a new window.
73,एताः जनभाषाः ।,These are vernacular languages.
74,अहं तस्य भक्ता ।,I am his devotee.
75,अस्मै आसनाय भवद्भि: श्वानवत् उपवेशनस्य प्रयासं करणीयम् ।,Imitate to sit like a dog.
76,"""ततो राजा पुनरपि दासानन्यान् इत्युक्त्वा प्रेषयामास, निमन्त्रितान् वदत, पश्यत, मम भेज्यमासादितमास्ते, निजव्टषादिपुष्टजन्तून् मारयित्वा सर्व्वं खाद्यद्रव्यमासादितवान्, यूयं विवाहमागच्छत।""","""Again, he sent forth other servants, saying, Tell them which are bidden, Behold, I have prepared my dinner: my oxen and my fatlings are killed, and all things are ready: come unto the marriage."""
77,अधुना प्रत्येकेषु विभागेषु पाठ्यं योजनीयम् ।,"Now, we have to insert the text under each of these sections."
78,पश्चात् अस्माकं program इत्यस्मिन् वयं driver रिजिस्टर् कुर्मः ।,Then we register the driver in our program.
79,किञ्चित समयानन्तरं अध्यापक: अथवा प्रशिक्षक: गायनं स्थगयति ।,"""After some time, the teacher, or host should stop the music."""
80,"ततः, पुटस्य अधः विद्यमानं Save बटन् उपरि क्लिक्-कुर्वन्तु ।","Next, click on the Save button at the bottom of the page."
81,स्वहस्तौ स्वतन्त्रतया दोलयनमुद्रायां सामान्यश्वासेन सह स्वशरीरं विश्रामयेत्।,Let you hands hang free and relax your body with normal breathing
82,"अक्षराणि चेतुं Ctrl A नुत्वा , Ctrl C नोदनेन कोपि कुर्वन्तु ।",Press Ctrl + A to select the text and press Ctrl + C to copy them.
83,केशा: ओष्णतैलेनमर्द्यन्ते चेत केशा: अनामया दृढा च भवन्ति।,We should also give massage to ourhairs with warm oil.
84,मारिच: रावणं मुहुर्मुहु: निषेधं कृतवान बोधितवान च यत स्वाधिकबलवता जनेन सह कदापि शत्रुता न कर्त्तव्या।,"""Maricha repeatedly dissuaded him saying, 'O Ravana It is not proper for you to enter into hostility with the mighty and powerful Rama'."""
85,तद्वद् वयमपि बाल्यकाले दासा इव संसारस्याक्षरमालाया अधीना आस्महे।,"""Even so we, when we were children, were in bondage under the elements of the world:"""
86,सम्पूर्णे कृते तदेवं दृश्यताम् ।,Your completed assignment should look like this.
87,विशिष्टसन्धिषु ध्यानकेन्द्रतकरणम ।,Synchronization of inhalation and exhalation with the movement of the joints
88,"1st Year Maths उपविभागे कोर्सस् दृष्टुं, तस्योपरि नुदन्तु ।",Click on 1st Year Maths subcategory to see the courses under it.
89,“system dot out dot println” ब्रेकेट् मध्ये डबल् कोट्स् इत्यस्यान्तः “odd number” सेमिकोलन् ।,Type: System.out.println within brackets and double quotes Odd number semicolon.
90,वाल्मीकिः रामायणं संस्कृत भाषायां लिखति ।,Valmiki writes Ramayana in Sanskrit language.
91,कर्म्मणि स्वकरान् व्यापारयन्तश्च दुःखैः कालं यापयामः। गर्हितैरस्माभिराशीः कथ्यते दूरीकृतैः सह्यते निन्दितैः प्रसाद्यते।,"""And labour, working with our own hands: being reviled, we bless; being persecuted, we suffer it:"""
92,"""अथ तेभ्यः शास्त्रबोधाधिकारं दत्वावदत्,""","""Then opened he their understanding, that they might understand the scriptures,"""
93,एक्सिक्यूट् कर्तुं ./ incr (dot slash incr) टङ्कयित्वा Enter नुदन्तु ।,"To execute, type ./ incr (dot slash incr). Press Enter."
94,"तथा, दक्षिणभागे ड्राप्-डौन् मध्ये, अहं “Author” चिनोमि ।","And, in the drop-down to the right, I will select “Author”."
95,इदमनिवार्यं यत् अस्माभिः tex सञ्चिका व्यवस्थापकाधिकारेण उद्घाटनीया।,It is required that we open the tex file with administrator privileges.
96,मम मेषा मम शब्दं शृण्वन्ति तानहं जानामि ते च मम पश्चाद् गच्छन्ति।,"""My sheep hear my voice, and I know them, and they follow me:"""
97,मेघा: जलस्य स्रोता: सन्ति य: इदं जानाति स: बलशाली भवति । जलं मेघानाम आधारो वर्तते य: इदं जानाति स: बलवान् भवति । य: जलस्य स्रोतं जानाति स: बलवान भवति ।,"""Clouds are the source of water, He who knows this, Becomes established in himself, Water is the source of clouds, He who knows this, Becomes established in himself."""
98,"""अग्निपुराणं, गरूड़-पुराणं च विष्णु-पुराणे धेनवस्य रोगविषयं, तेषां औषधीय-उपचारस्य विवरणं भवति।""","""Agnipurana, Garudapurana and Vishnudharmattara purana speak on diseases of cows and their medical treatment."""
99,2. अपमार्जकं कथं पर्यावरणस्य कृते हानिकारकं भवति।,2. How are detergents harmful for environment?
100,किन्तु यः कश्चित् ममैताः कथाः श्रुत्वा न पालयति स सैकते गेहनिर्म्मात्रा ऽज्ञानिना उपमीयते।,"""And every one that heareth these sayings of mine, and doeth them not, shall be likened unto a foolish man, which built his house upon the sand:"""
101,Tux Typing इत्यस्य आइकन उपरि नुदतु।,Click the Tux Typing icon.
102,स सङ्गिभिः सह विद्यत एतच्च बुद्व्वा दिनैकगम्यमार्गं जग्मतुः। किन्तु शेषे ज्ञातिबन्धूनां समीपे मृगयित्वा तदुद्देेशमप्राप्य,"""But they, supposing him to have been in the company, went a day's journey; and they sought him among their kinsfolk and acquaintance."""
103,बाल: एतेषु सौजन्यं करोति ।,Boy has kindness on these.
104,"""य: को पि हठयोगस्य प्रविधिनाम अभ्यासं करोति, तस्या शारीरिका मानसिका क्षमता संवर्धयति ।""","""As one practices Hatha yoga techniques, one's physical and mental potential begin to increase and unfold."""
105,"""क्षणात् परं तिष्ठन्तो जना एत्य पितरम् अवदन्, त्वमवश्यं तेषामेक इति त्वदुच्चारणमेव द्योतयति।""","""And after a while came unto him they that stood by, and said to Peter, Surely thou also art one of them; for thy speech bewrayeth thee."""
106,"अहं बार्-कोड्, अक्सेशन् संख्या 00001 इति टण्कयामि । 'ऐटम्' अनेन सह आदौ चेक्-औट् कृतमासीत् ।",I will enter Barcode as accession number 00001 with which the item was checked out earlier.
107,आवाम् एतस्मिन् विषये चिन्तनं कृतवन्तौ |,We thought about this matter.
108,द्वे फील्ड्स् दर्शिते ।,Only two fields are shown.
109,अहमधुना स्टुडेण्ट् Priya Sinha इति लोगिन् करोमि । एवं क्रियते चेत् छात्राय फ़ोरम् कथं दृश्यते इति वयं दृष्टुं शक्नुमः ।,I will now login as student Priya Sinha. We can then see how a student views this forum.
110,"Superlibrarian क्रियेट् कर्तुं तथा किञ्चन निर्दिष्ट-मोड्युल्-निमित्तं, स्टाफ् कृते अक्सेस् दातुं ज्ञातवन्तः ।","Create a Superlibrarian, Give access to a Staff for a particular module."
111,"दक्षिणतः गेर् मेन्यूमध्ये, Preview quiz गण्डं नुदन्तु ।",Click on Preview quiz button in the gear menu at the right.
112,अस्मिन् पाठे वयम्- “उबुण्टु” 11.10 (एकादश ---- दश) “जेडिके 1.6 (एकम् ----- षट्) तथा “ एक्लिप्स् 3.7 (त्रयम्… सप्त) इत्येतान् उपयुञ्जामहे ।,"For this tutorial we are using: Ubuntu 11.10, JDK 1.6 and Eclipse 3.7"
113,"create circle and ellipse इति टूल् , टूल्-बोक्स् इत्यस्मात् चिनोतु ।",Select the Create circles and ellipses tool from the Tool box.
114,विधवावर्गे यस्या गणना भवति तया षष्टिवत्सरेभ्यो न्यूनवयस्कया न भवितव्यं; अपरं पूर्व्वम् एकस्वामिका भूत्वा,"""Let not a widow be taken into the number under threescore years old, having been the wife of one man,"""
115,FrontAccounting इत्यस्य 2.4.7 आवृत्तिः,FrontAccounting 2.4.7
116,बाल: भवत्यां विश्वासं प्रदर्शयति ।,Child exhibits trust in you.
117,अहं LibreOffice Writer मध्ये पूर्वरक्षितसञ्चिकया अक्षराणि कोपि करोमि ।,I will copy some text from a LibreOffice Writer file that I had saved earlier.
118,सः हसितवान् ।,He laughed.
119,पोषक तत्वानां स्वास्थ्यरक्षकतत्वानां च उपस्थिते: कारणात भोजनं निम्नलिखितानि कार्याणि करोति,Due to the presence of nutrients and health protective compounds food performs some of the following functions
120,"रचितेन 'अरे'इत्यनेन, अस्माभिः मूलानुक्रमं पुनः प्राप्तव्यं चेत् ; तत् कथं क्रियते ?","Suppose, we want to recover the original sequence of indices from an already created array. How can we do this?"
121,‘bing’ इति search engine स्थापयतु |,Change the search engine to ‘bing’.
122,अन्तिमा पङ्क्तिः मुद्रापिता ।,We see that the last line is printed.
123,शब्दं उत वाक्यं रक्षितुं DONE इत्यत्र नुदतु अपि च इण्टर्नल मेन्यू प्रति गच्छतु।,Let’s click DONE to save the word or sentence and return to the Internal menu.
124,यदा वयं enter नुदामः तदा आदेशः कस्यचन निवेशस्य (input) प्रतीक्षां करोति।,Now when we press Enter the command waits for input from the user.
125,"""हे भ्रातरः, आहूतयुष्मद्गणो यष्माभिरालोक्यतां तन्मध्ये सांसारिकज्ञानेन ज्ञानवन्तः पराक्रमिणो वा कुलीना वा बहवो न विद्यन्ते।""","""For ye see your calling, brethren, how that not many wise men after the flesh, not many mighty, not many noble, are called:"""
126,उत्तारण: संसारसागरं तारक:,Uttarano: One who takes beings over to the other shore of the ocean of Samsara.
127,"""इत्थं लोटो वर्त्तमानकालेपि यथा लोका भोजनपानक्रयविक्रयरोपणगृहनिर्म्माणकर्म्मसु प्रावर्त्तन्त,""","""Likewise also as it was in the days of Lot; they did eat, they drank, they bought, they sold, they planted, they builded;"""
128,Shift + Ctrl + E इतीदं मह्यं सम्पूर्णचित्रं ददाति । अपि च इदानीम् अहं active layer इति विकल्पं चिनोमि ।,Shift + Ctrl + E gives me the whole image and now I select the active layer option.
129,अर्थात् ओब्जेक्ट्-द्वयमपि अन्यदन्यत् मूल्ये प्राप्तवदस्ति ।,This means that the two objects have unique values.
130,पार्वत्युवाच हे प्रभो अहं एवं ज्ञातुं उत्सुकास्मि यत अस्मिन संसारे बुद्धिमान् मनुष्य: सहस्रनामस्तोत्रस्य नित्य: केन विधिना पाठं कुर्यात य: सरलं भवेत ।,"""Parvati said — What is the shortest method by which the thousand names of Vishnu are daily recited by learned men, please teach me O Lord Siva."""
131,Course and category management इति पृष्टं प्रति वयं प्रेषिताः भवामः । course category नाम किमिति जानाम ।,We will be directed to a page with the title Course and category management. Let us understand what a course category is.
132,जनकः दूरदर्शनं पश्यति ।,Father watches television.
133,अस्य पात्रस्याकारकारणेन भोजनपदार्थानि समानतापं प्राप्नुवन्ति ।,The shape of degchi helps to distribute the heat evenly.
134,एतत् दूरदर्शकपटलमिव दृश्यते।,It looks like a TV screen.
135,First issue publication date: निमित्तम् अहं 01/01/2017 एण्टर् करोमि ।,"For First issue publication date:, I will enter 01/01/2017."
136,एतानि विवरणानि अग्रे अस्मिन् अनुशिक्षणे उपयुज्यन्ते ।,These details will be used later in this tutorial.
137,2. भोजननाशका:- बहुभोज्यपदार्था: जीवाणुभि: नाश्यन्ते।,2. Destroys food - any food items are destroyed by bacteria.
138,ङ) लौहतत्त्वम्,e) iron element
139,इदानीं वयं पश्याम: केन आधारेण किं वस्तु सजीवम इति स्वीकर्तुं शक्यते।,Let us see on what basis anobject is considered live.
140,ते जनन्यौ ।,Those two are mothers.
141,"स्पोकन् ट्युटोरियल् प्रकल्पः, NMEICT, MHRD द्वारा भारतसर्वकारस्य अनुदानं प्राप्तवानस्ति । अधिकविवरणार्थं पर्चनीं पश्यन्तु ।","Spoken Tutorial Project is funded by NMEICT, MHRD, Government of India. More information on this mission is available at the following link."
142,ये च आन्लैन् परीक्षायाम् उत्तीर्णाः भवन्ति तेभ्यः प्रमाणपत्रमपि दीयते।,Gives certificates to those who pass an online test.
143,पाठेऽस्मिन् भागं गृहीतुम् अन्तर्जालसम्पर्कः अपि च जालान्वेषकस्य (web browser) अपेक्षा अस्ति।,"""For this tutorial, you will need a working Internet connection and a Web browser."""
144,"पाठेऽस्मिन् वयम्, रेफरेन्स् वेरियेबल् ,ओब्जेक्ट् इत्येतेषां रचना , अपि च ओब्जेक्ट् इत्येतेभ्यः मेमोरि-वितरणम् , एतान् विषयान् ज्ञास्यामः ।","In this tutorial, we will learn about: Reference Variables Constructing objects and Memory Allocation for objects."
145,भवत्यः शक्नुवन्ति ।,You all are able to.
146,युद्धदेव: कार्तिकेयं चित्रेषु एकं भव्यमयूरोपरि यानंकृत्वा दृष्टुं शक्यते।,"""Peacock of Kartikeya, the god of war is seen in pictures as perched on a magnificent peacock."""
147,"""ते प्राय: केचन असंगतस्वरा: यथा - हू, हा, याहा पशुनां घुरघुर-चीख-ध्वनिनां, पक्षिणां चहचहध्वनिनां तथा वृक्षाणां ध्वनिनां तथा जलप्रपातस्य ध्वनिनां प्रयोगं कुर्वन्ति ।""","""They often use absurd sounds like hoo, haa, yaha etc. purring and murring sounds of animals, shrilling of animal, chirping of birds, calls and cries of birds and animals, sound of trees and water flows."""
148,"वयं पेनल् मध्ये, सिस्प्ल्याटिन् इत्यय्स द्वे ऐसोमर्स् प्राप्तवन्तः ।",We have two isomers of cisplatin on the Panel.
149,वयं कान् स्मरामः ?,We are remembering whom ?
150,भवान् मूलं चित्रं पश्यति ।,You see the basic image.
151,"""सभी श्वास नाक से ही लेना है और नाक से ही छोडना है, श्वास में मुंह का प्रयोग नहीं करना है ।""",All breathings should be performed through the nose and not through the mouth.
152,एतते पाठं पठनान्तरं भवन्त: सक्षमा: भविष्यन्ति :,After reading this lesson you will be able to:
153,इदं ‘set beamer color – alerted text’ इति आदेशात् सम्पादितम्। अत्र एकः अवकाशः वर्तते। foreground equals blue - 'fg equals blue' ।,"It is achieved through the command ‘set beamer color – alerted text’ there is a space here ‘foreground equals blue’, fg equals blue."
154,रचनायाः डी-सेलेक्ट् करणाय CTRL+SHIFT तथा A कीलकानि नुदन्तु ।,Press CTRL+SHIFT and A to deselect the structure.
155,पृष्ठस्य अधः Submit your suggestion उपरि क्लिक् कुर्वन्तु ।,Click on Submit your suggestion at the bottom of the page.
156,अन्ते आञ्जनेयः किं करोति ?,What does Anjaneya do in the end?
157,"यदि अत्र मह्यं फलितं सङ्ख्यात्रयात्मकं भवेत् तर्हि,",Suppose here I want an output with three decimal places.
158,अपि च gimp इतीदं नूनं पूर्वसूचनां ददाति ।,And gimp just gives a warning.
159,"एकस्मिन् केन्द्रीकृत-सर्वर् मध्ये सदस्यत्वविवरणस्य निर्वहणाय,",To maintain membership information on one centralized server
160,scriptlet tags इत्यस्मिन् वयं user type इत्यस्य किञ्चन object रचितवन्तः स्मः ।,"Inside the scriptlet tags, we have created an object of type User."
161,पाठेऽस्मिन वयं प्रकृतौ एवं परस्परसम्बद्धानां विषये पठाम:।,We willread about some related components of nature in this lesson.
162,कण्डीशन् सत्यमस्ति । पुनः वयं मूल्यं संयोजयाम ।,The condition is true. Again we will add the values.
163,उद्देष्यानि,OBJECTIVES
164,वयं एकं सन्देशं “Display settings have been updated” इति पश्यामः ।,We can see a message “Display settings have been updated”.
165,अधुना भवत्-समीपे प्रत्येकं भिन्नेन जालपर्णेन सह tab - त्रयमस्ति |,"You will now have 3 tabs, each with a different web page!"
166,बाल: एतासु मैत्रीं करोति ।,Boy has friendship on these all.
167,इदं compound data-type इति कथ्यते ।,It is called as compound data-type.
168,"""तर्हि किं ब्रवीति? तद् वाक्यं तव समीपस्थम् अर्थात् तव वदने मनसि चास्ते, तच्च वाक्यम् अस्माभिः प्रचार्य्यमाणं विश्वासस्य वाक्यमेव।""","""But what saith it? The word is nigh thee, even in thy mouth, and in thy heart: that is, the word of faith, which we preach;"""
169,महर्षिपतंजलिं आदिशेषस्य अवतारं मन्यते। आदिशेष: स: सर्प: आसीत यस्योपरि भगवान विष्णु: विराजमान: अस्ति।,It is believed that Maharishi Patanjali was the avatar or incarnation of AdiShesha (The Serpent upon whom Lord Vishnu rests).
170,layer इत्यस्य उपरि द्विर्नोदनं कृत्वा Sky इति नाम टङ्कयतु । निवर्तनेन (return) अस्मभ्यं Sky इतीदं प्राप्यते ।,"Double click on the layer, type the name as Sky, pressing return and we have the Sky."
